id,duracion_estadia,genero,edad,kids,codigo_destino,tipo_acomodacion,Age_imputed,gender_encoded,acomodacion_predicted
1013321,2,F,38.0,0.0,US,,38.0,0,Airbnb
1009487,6,M,37.0,0.0,ES,,37.0,1,Hotel
1002727,1,M,37.0,1.0,ES,,37.0,1,Airbnb
1001135,5,F,50.0,0.0,UK,,50.0,0,Hotel
1000796,4,F,42.0,1.0,AR,,42.0,0,Airbnb
1010222,4,M,,1.0,PE,,40.512179278986686,1,Hotel
1011737,2,F,40.0,0.0,US,,40.0,0,Airbnb
1003308,2,F,38.0,1.0,UK,,38.0,0,Hotel
1013201,3,M,37.0,0.0,NL,,37.0,1,Hotel
1008138,1,F,43.0,0.0,PE,,43.0,0,Hotel
1014026,5,M,34.0,0.0,NL,,34.0,1,Hotel
1004882,3,F,36.0,1.0,US,,36.0,0,Hotel
1011594,2,F,40.0,1.0,ES,,40.0,0,Hotel
1002676,1,F,22.0,0.0,PE,,22.0,0,Airbnb
1008795,3,F,33.0,1.0,AR,,33.0,0,Hotel
1000188,4,M,41.0,1.0,US,,41.0,1,Hotel
1013702,1,M,41.0,0.0,COL,,41.0,1,Airbnb
1009457,3,M,44.0,1.0,AR,,44.0,1,Hotel
1011962,5,F,52.0,0.0,US,,52.0,0,Hotel
1000209,3,F,41.0,1.0,COL,,41.0,0,Airbnb
1008909,4,F,41.0,0.0,US,,41.0,0,Hotel
1007870,3,M,41.0,1.0,NL,,41.0,1,Hotel
1009270,5,F,41.0,0.0,ES,,41.0,0,Hotel
1008728,3,F,39.0,0.0,AR,,39.0,0,Airbnb
1010894,4,F,39.0,0.0,PE,,39.0,0,Airbnb
1012619,2,F,37.0,0.0,IT,,37.0,0,Airbnb
1006850,2,M,29.0,1.0,PE,,29.0,1,Airbnb
1000192,3,M,44.0,1.0,US,,44.0,1,Hotel
1005584,3,M,47.0,1.0,COL,,47.0,1,Hotel
1003790,3,F,43.0,0.0,UK,,43.0,0,Hotel
1009680,5,M,,0.0,ES,,40.512179278986686,1,Hotel
1001458,3,F,36.0,1.0,PE,,36.0,0,Hotel
1007176,5,F,35.0,1.0,US,,35.0,0,Hotel
1004415,3,M,39.0,1.0,NL,,39.0,1,Airbnb
1011193,3,M,43.0,0.0,COL,,43.0,1,Airbnb
1010282,4,F,36.0,0.0,COL,,36.0,0,Airbnb
1001545,3,M,41.0,0.0,US,,41.0,1,Airbnb
1009576,4,M,55.0,1.0,UK,,55.0,1,Hotel
1011789,2,F,40.0,0.0,AR,,40.0,0,Airbnb
1010010,5,M,31.0,1.0,ES,,31.0,1,Airbnb
1005727,6,F,42.0,0.0,IT,,42.0,0,Hotel
1001486,5,F,37.0,0.0,NL,,37.0,0,Airbnb
1005501,3,M,51.0,0.0,IT,,51.0,1,Airbnb
1010374,3,M,39.0,1.0,PE,,39.0,1,Airbnb
1002773,4,M,53.0,1.0,PE,,53.0,1,Hotel
1001055,6,M,,0.0,PE,,40.512179278986686,1,Hotel
1011115,3,M,44.0,1.0,IT,,44.0,1,Hotel
1000412,5,F,39.0,1.0,IT,,39.0,0,Hotel
1008788,3,M,33.0,0.0,ES,,33.0,1,Hotel
1001828,6,M,45.0,0.0,UK,,45.0,1,Airbnb
1006281,4,F,46.0,0.0,AR,,46.0,0,Hotel
1001924,3,M,43.0,0.0,COL,,43.0,1,Airbnb
1010614,3,M,46.0,0.0,US,,46.0,1,Airbnb
1008421,9,F,41.0,0.0,COL,,41.0,0,Hotel
1010836,4,M,42.0,0.0,ES,,42.0,1,Airbnb
1005783,7,M,45.0,1.0,UK,,45.0,1,Hotel
1002133,3,F,40.0,1.0,ES,,40.0,0,Hotel
1009912,1,M,40.0,1.0,NL,,40.0,1,Airbnb
1003589,4,F,40.0,1.0,US,,40.0,0,Hotel
1005546,4,F,37.0,0.0,NL,,37.0,0,Airbnb
1007858,4,M,41.0,1.0,PE,,41.0,1,Hotel
1005505,3,F,42.0,0.0,PE,,42.0,0,Hotel
1005295,2,F,47.0,1.0,US,,47.0,0,Airbnb
1006559,2,F,38.0,1.0,COL,,38.0,0,Hotel
1003321,3,M,41.0,1.0,AR,,41.0,1,Hotel
1010162,4,F,40.0,1.0,PE,,40.0,0,Hotel
1002059,5,F,48.0,1.0,PE,,48.0,0,Airbnb
1003865,7,M,29.0,0.0,IT,,29.0,1,Airbnb
1008555,3,M,41.0,0.0,ES,,41.0,1,Airbnb
1000200,2,M,49.0,1.0,US,,49.0,1,Hotel
1006577,8,M,31.0,0.0,COL,,31.0,1,Hotel
1004540,4,F,40.0,1.0,UK,,40.0,0,Hotel
1008803,4,M,45.0,1.0,PE,,45.0,1,Hotel
1009321,5,M,40.0,0.0,COL,,40.0,1,Hotel
1008691,3,M,,1.0,PE,,40.512179278986686,1,Airbnb
1008984,3,F,35.0,0.0,AR,,35.0,0,Airbnb
1013085,3,M,43.0,1.0,US,,43.0,1,Hotel
1009070,3,M,48.0,0.0,IT,,48.0,1,Airbnb
1007272,2,M,43.0,1.0,COL,,43.0,1,Hotel
1006182,4,M,33.0,0.0,UK,,33.0,1,Hotel
1004949,3,M,42.0,1.0,NL,,42.0,1,Hotel
1008910,4,F,46.0,0.0,COL,,46.0,0,Hotel
1006914,11,M,38.0,1.0,UK,,38.0,1,Hotel
1010434,2,F,43.0,0.0,AR,,43.0,0,Hotel
1011363,3,M,45.0,1.0,IT,,45.0,1,Hotel
1000215,8,M,30.0,0.0,US,,30.0,1,Hotel
1003618,2,F,39.0,0.0,US,,39.0,0,Airbnb
1007562,5,F,38.0,0.0,US,,38.0,0,Airbnb
1010099,3,M,36.0,1.0,UK,,36.0,1,Airbnb
1002871,3,F,40.0,0.0,UK,,40.0,0,Airbnb
1007446,5,M,43.0,0.0,ES,,43.0,1,Airbnb
1000951,1,F,44.0,0.0,COL,,44.0,0,Hotel
1003747,3,M,41.0,1.0,AR,,41.0,1,Hotel
1010156,7,M,45.0,1.0,AR,,45.0,1,Hotel
1004026,2,M,37.0,0.0,UK,,37.0,1,Hotel
1012384,3,F,33.0,0.0,AR,,33.0,0,Airbnb
1006892,3,M,40.0,1.0,NL,,40.0,1,Airbnb
1009811,5,M,,1.0,COL,,40.512179278986686,1,Airbnb
1001243,1,F,41.0,0.0,AR,,41.0,0,Hotel
1010515,3,M,45.0,1.0,AR,,45.0,1,Hotel
1003074,5,M,36.0,0.0,ES,,36.0,1,Hotel
1000048,4,F,27.0,1.0,COL,,27.0,0,Hotel
1005165,5,F,38.0,0.0,COL,,38.0,0,Airbnb
1013262,4,F,54.0,1.0,NL,,54.0,0,Airbnb
1008828,4,M,40.0,0.0,IT,,40.0,1,Hotel
1000511,1,M,39.0,0.0,NL,,39.0,1,Hotel
1005167,7,M,44.0,1.0,ES,,44.0,1,Hotel
1011685,4,M,43.0,0.0,ES,,43.0,1,Airbnb
1008143,3,M,43.0,1.0,US,,43.0,1,Hotel
1013747,3,M,43.0,1.0,US,,43.0,1,Hotel
1011435,5,F,48.0,1.0,COL,,48.0,0,Airbnb
1013672,3,M,54.0,0.0,COL,,54.0,1,Airbnb
1009235,5,F,39.0,1.0,COL,,39.0,0,Hotel
1013634,9,M,43.0,1.0,ES,,43.0,1,Hotel
1013373,1,F,,0.0,COL,,40.512179278986686,0,Airbnb
1009816,6,F,35.0,1.0,UK,,35.0,0,Hotel
1000979,5,F,,1.0,NL,,40.512179278986686,0,Hotel
1010926,5,M,41.0,1.0,COL,,41.0,1,Hotel
1005599,1,M,47.0,0.0,IT,,47.0,1,Airbnb
1003641,6,M,48.0,0.0,US,,48.0,1,Airbnb
1007599,6,F,47.0,0.0,AR,,47.0,0,Hotel
1003495,7,M,44.0,1.0,NL,,44.0,1,Hotel
1005338,2,M,41.0,0.0,COL,,41.0,1,Airbnb
1014051,2,M,40.0,1.0,IT,,40.0,1,Airbnb
1011168,3,M,57.0,1.0,US,,57.0,1,Hotel
1003487,9,F,44.0,1.0,US,,44.0,0,Airbnb
1003284,6,F,46.0,1.0,UK,,46.0,0,Airbnb
1010021,2,M,41.0,1.0,AR,,41.0,1,Hotel
1001101,3,M,38.0,1.0,UK,,38.0,1,Airbnb
1007960,5,F,45.0,1.0,UK,,45.0,0,Airbnb
1013681,2,F,34.0,0.0,IT,,34.0,0,Airbnb
1010343,2,F,37.0,1.0,PE,,37.0,0,Hotel
1004210,5,F,39.0,1.0,UK,,39.0,0,Hotel
1012774,3,M,39.0,1.0,COL,,39.0,1,Airbnb
1005067,4,M,38.0,0.0,US,,38.0,1,Hotel
1011421,4,F,33.0,1.0,ES,,33.0,0,Hotel
1002762,2,M,41.0,0.0,NL,,41.0,1,Airbnb
1013302,2,F,38.0,1.0,UK,,38.0,0,Hotel
1006958,4,M,43.0,1.0,AR,,43.0,1,Hotel
1010483,1,M,45.0,1.0,IT,,45.0,1,Hotel
1009464,11,M,46.0,0.0,AR,,46.0,1,Hotel
1001543,4,F,39.0,1.0,IT,,39.0,0,Hotel
1010599,2,F,51.0,1.0,NL,,51.0,0,Airbnb
1011349,4,F,39.0,1.0,UK,,39.0,0,Hotel
1012654,3,M,42.0,0.0,IT,,42.0,1,Airbnb
1004685,4,M,35.0,0.0,AR,,35.0,1,Hotel
1007502,5,F,47.0,0.0,UK,,47.0,0,Hotel
1004599,5,F,,1.0,IT,,40.512179278986686,0,Hotel
1013297,6,F,39.0,1.0,PE,,39.0,0,Hotel
1013248,7,F,,0.0,AR,,40.512179278986686,0,Airbnb
1005527,2,F,39.0,1.0,COL,,39.0,0,Hotel
1006220,4,M,37.0,0.0,PE,,37.0,1,Hotel
1009382,4,M,45.0,0.0,UK,,45.0,1,Airbnb
1011393,3,M,39.0,0.0,UK,,39.0,1,Hotel
1009893,2,M,50.0,1.0,IT,,50.0,1,Hotel
1005606,6,F,41.0,1.0,UK,,41.0,0,Airbnb
1014080,4,F,34.0,1.0,COL,,34.0,0,Hotel
1001767,3,F,40.0,1.0,AR,,40.0,0,Hotel
1005469,6,M,41.0,0.0,NL,,41.0,1,Airbnb
1005681,1,M,35.0,0.0,ES,,35.0,1,Hotel
1011103,3,M,44.0,1.0,NL,,44.0,1,Hotel
1007419,1,M,48.0,0.0,ES,,48.0,1,Airbnb
1001297,2,M,34.0,1.0,IT,,34.0,1,Airbnb
1009993,4,M,50.0,0.0,AR,,50.0,1,Hotel
1013523,4,M,45.0,0.0,IT,,45.0,1,Airbnb
1005703,2,M,38.0,0.0,ES,,38.0,1,Hotel
1011146,2,M,37.0,0.0,IT,,37.0,1,Hotel
1005289,5,M,42.0,0.0,UK,,42.0,1,Airbnb
1010710,7,F,42.0,0.0,COL,,42.0,0,Hotel
1005347,2,F,40.0,0.0,ES,,40.0,0,Airbnb
1001487,5,M,34.0,0.0,PE,,34.0,1,Hotel
1007992,5,F,36.0,1.0,NL,,36.0,0,Hotel
1006409,5,F,48.0,0.0,PE,,48.0,0,Hotel
1010303,3,F,45.0,0.0,IT,,45.0,0,Hotel
1001422,5,F,36.0,1.0,UK,,36.0,0,Hotel
1007165,4,M,37.0,0.0,IT,,37.0,1,Hotel
1000380,4,F,,0.0,NL,,40.512179278986686,0,Hotel
1004093,4,M,36.0,1.0,AR,,36.0,1,Airbnb
1001155,2,M,50.0,1.0,PE,,50.0,1,Hotel
1004292,1,F,44.0,0.0,IT,,44.0,0,Hotel
1001509,5,M,39.0,1.0,NL,,39.0,1,Airbnb
1009579,3,M,48.0,1.0,UK,,48.0,1,Hotel
1013107,5,F,35.0,1.0,COL,,35.0,0,Hotel
1013968,5,M,34.0,0.0,NL,,34.0,1,Hotel
1010131,6,F,41.0,0.0,AR,,41.0,0,Hotel
1011232,2,F,,0.0,PE,,40.512179278986686,0,Hotel
1001093,3,M,37.0,1.0,PE,,37.0,1,Airbnb
1003853,1,F,43.0,1.0,US,,43.0,0,Airbnb
1007969,5,F,,0.0,AR,,40.512179278986686,0,Hotel
1007055,3,F,41.0,1.0,COL,,41.0,0,Airbnb
1009012,4,F,37.0,1.0,AR,,37.0,0,Hotel
1010243,5,M,34.0,0.0,NL,,34.0,1,Hotel
1000669,5,M,40.0,0.0,ES,,40.0,1,Hotel
1010655,1,F,32.0,1.0,US,,32.0,0,Airbnb
1010750,2,M,45.0,1.0,ES,,45.0,1,Hotel
1006149,2,F,36.0,1.0,AR,,36.0,0,Hotel
1002274,6,F,32.0,0.0,PE,,32.0,0,Airbnb
1000517,5,M,35.0,0.0,ES,,35.0,1,Hotel
1002187,5,M,49.0,1.0,PE,,49.0,1,Hotel
1002496,4,F,39.0,0.0,UK,,39.0,0,Airbnb
1000911,3,F,34.0,1.0,COL,,34.0,0,Hotel
1005148,5,F,42.0,1.0,US,,42.0,0,Airbnb
1003915,3,F,42.0,1.0,IT,,42.0,0,Airbnb
1013938,3,F,36.0,0.0,IT,,36.0,0,Airbnb
1011113,3,F,35.0,0.0,AR,,35.0,0,Airbnb
1012253,3,M,46.0,1.0,ES,,46.0,1,Hotel
1005969,2,M,,0.0,UK,,40.512179278986686,1,Hotel
1005926,2,F,45.0,1.0,UK,,45.0,0,Airbnb
1003796,2,M,40.0,0.0,NL,,40.0,1,Hotel
1001511,4,M,42.0,1.0,US,,42.0,1,Hotel
1001281,2,F,40.0,1.0,ES,,40.0,0,Hotel
1011361,5,M,41.0,1.0,AR,,41.0,1,Hotel
1006439,2,F,36.0,0.0,AR,,36.0,0,Airbnb
